id	huzasid	talalat	darab	ertek
1453	814	4	3494	4800
1454	914	4	2072	6570
1455	567	3	49315	714
1456	710	3	44405	1065
1457	491	3	44804	607
1458	624	5	50	210903
1459	848	5	145	184965
1460	705	3	33412	1325
1461	550	4	3283	4345
1462	810	3	52421	1261
1463	556	7	1	13154034
1466	296	7	2	2528785
1467	699	3	52027	782
1469	1105	5	35	522620
1470	559	6	1	36481651
1471	530	4	2578	3606
1472	1024	5	35	436145
1473	789	7	1	15122602
1474	823	5	147	104890
1475	723	7	6	2382329
1476	855	5	93	410785
1477	321	4	2579	2180
1480	440	4	2143	3135
1481	604	5	72	202113
1482	687	4	2076	5707
1483	990	4	2288	6615
1484	699	5	99	117405
1485	1073	6	1	65449845
1486	930	4	3007	5315
1487	410	5	68	101696
1488	883	5	32	455830
1489	808	4	3713	3916
1490	594	4	2920	4234
1491	451	4	4812	1570
1492	508	4	2869	3408
1493	804	4	4223	3304
1494	1099	4	1902	8395
1495	848	4	6485	4135
1496	963	5	16	824210
1497	518	3	36306	891
1498	611	3	69456	666
1499	319	7	3	1870435
1500	605	5	45	307754
1501	963	4	1322	9975
1502	578	3	38494	983
1503	492	4	1219	5982
1504	952	5	77	176720
1506	829	3	41009	1205
1507	415	7	2	3454059
1508	1002	3	35289	1365
1509	1053	5	46	390745
1510	496	4	1019	7583
1511	438	5	141	51497
1512	806	5	53	297836
1513	850	4	8071	3955
1514	794	3	53123	952
1515	887	5	78	182280
1516	979	4	2172	6710
1517	598	5	68	210005
1518	381	3	62489	449
1519	479	4	2191	3670
1520	323	4	2593	2547
1521	780	3	62406	1438
1522	856	6	4	19025570
1523	458	3	43626	636
1524	455	7	1	29676167
1525	397	3	50320	481
1526	608	4	1230	9282
1527	424	4	2537	2387
1528	355	5	252	32108
1529	454	3	33517	711
1530	705	4	1434	8822
1531	962	5	22	618705
1532	679	3	47674	939
1533	355	6	1	179533845
1534	688	4	1117	10858
1535	1025	3	42717	1260
1536	325	6	1	147306463
1537	678	3	35719	1205
1538	355	4	7901	1022
1539	581	6	1	38791645
1540	1027	4	1273	12435
1541	639	4	2225	4907
1542	1078	4	3107	4920
1543	497	3	43565	689
1544	466	5	154	54177
1545	588	4	3773	3285
1546	952	3	42486	1120
1547	362	3	45886	692
1548	382	5	70	118368
1549	1109	3	75905	1085
1550	1116	4	4883	4125
1551	384	6	1	63976591
1552	943	3	36815	1360
1553	979	5	39	373770
1554	700	5	81	142090
1555	993	5	58	288795
1556	957	3	65113	825
1557	414	5	24	285465
1558	317	6	1	21841252
1559	448	5	81	93403
1560	716	4	2862	5753
1561	716	7	2	8232692
1562	861	4	3432	4500
1563	631	3	50383	803
1564	501	3	56792	677
1565	868	5	117	172020
1566	989	3	43649	1190
1567	600	5	95	153528
1568	659	4	2211	4991
1569	328	3	34339	588
1570	1015	4	3141	5290
1571	867	4	4906	4040
1572	998	4	3000	5125
1573	478	5	32	235185
1575	928	5	62	253140
1576	978	5	18	784045
1577	1124	4	2648	6665
1578	743	7	1	12000820
1579	603	3	41888	1184
1582	701	3	52499	786
1583	807	4	3147	4669
1584	553	7	2	6486590
1585	765	4	5054	3159
1586	642	5	68	161518
1587	377	5	102	79902
1588	385	3	62979	530
1589	495	3	33701	774
1590	1037	5	42	397305
1591	335	3	38837	412
1592	655	5	44	249600
1593	864	5	70	229665
1594	586	3	57503	711
1595	866	3	56949	1145
1596	332	3	45909	434
1597	713	4	2617	5103
1598	419	3	44086	508
1599	326	7	1	5882463
1600	1112	3	43711	1280
1601	811	5	91	194999
1602	565	3	44397	836
1603	837	3	54625	1145
1604	792	3	42435	1190
1605	389	3	56615	477
1606	396	3	30526	803
1607	750	4	1602	7968
1608	1090	4	2165	7360
1610	856	5	210	80530
1611	350	5	78	89195
1612	1036	4	2870	6305
1613	513	3	43592	841
1614	899	5	42	320845
1615	1112	4	2473	6470
1616	784	7	2	8807035
1617	1066	4	2758	5445
1618	578	4	1835	5894
1619	310	3	67285	339
1620	802	5	72	191507
1621	780	4	3234	7928
1622	755	3	41001	1106
1623	781	4	4206	6268
